|	s	|	p	|	t	|	d	|	v1	|	v2	|	v3	|
|-------|-------|-------|-------|-------|-------|-------|
|	0	|	0	|	300	|	0	|	40	|	30	|	145	|
|	1	|	2	|	189	|	111	|	19	|	9	|	124	|
|	2	|	1	|	71	|	118	|	2	|	103	|	107	|
|	3	|	0	|	300	|	0	|	91	|	74	|	78	|
|	4	|	2	|	234	|	66	|	70	|	53	|	57	|
|	5	|	3	|	66	|	168	|	33	|	82	|	20	|
|	6	|	1	|	0	|	66	|	1	|	50	|	156	|
|	7	|	0	|	300	|	0	|	38	|	21	|	127	|
|	8	|	2	|	180	|	120	|	17	|	0	|	106	|
|	9	|	1	|	60	|	120	|	0	|	103	|	89	|
|	10	|	0	|	300	|	0	|	91	|	74	|	60	|
|	11	|	2	|	233	|	67	|	70	|	53	|	39	|
|	12	|	3	|	70	|	163	|	33	|	83	|	2	|
|	13	|	1	|	4	|	66	|	1	|	51	|	133	|
|	14	|	0	|	296	|	0	|	38	|	22	|	104	|
|	15	|	2	|	179	|	117	|	17	|	1	|	83	|
|	16	|	1	|	64	|	115	|	0	|	101	|	66	|
|	17	|	3	|	15	|	49	|	83	|	69	|	34	|
|	18	|	1	|	15	|	0	|	51	|	37	|	51	|
|	19	|	2	|	1	|	14	|	34	|	20	|	34	|
|	20	|	1	|	1	|	0	|	17	|	17	|	17	|
|	21	|	2	|	0	|	1	|	0	|	0	|	0	|
