|	s	|	p	|	t	|	d	|	v1	|	v2	|	v3	|
|-------|-------|-------|-------|-------|-------|-------|
|	0	|	0	|	318	|	0	|	40	|	30	|	145	|
|	1	|	2	|	207	|	111	|	19	|	9	|	124	|
|	2	|	1	|	89	|	118	|	2	|	103	|	107	|
|	3	|	0	|	314	|	0	|	91	|	74	|	78	|
|	4	|	2	|	247	|	67	|	70	|	53	|	57	|
|	5	|	3	|	68	|	179	|	33	|	83	|	20	|
|	6	|	1	|	2	|	66	|	1	|	51	|	167	|
|	7	|	0	|	299	|	0	|	38	|	22	|	138	|
|	8	|	2	|	241	|	58	|	17	|	1	|	117	|
|	9	|	1	|	121	|	120	|	0	|	42	|	100	|
|	10	|	2	|	26	|	95	|	103	|	25	|	83	|
|	11	|	0	|	318	|	0	|	82	|	99	|	62	|
|	12	|	1	|	252	|	66	|	53	|	70	|	33	|
|	13	|	3	|	67	|	185	|	87	|	38	|	1	|
|	14	|	2	|	0	|	67	|	50	|	1	|	149	|
|	15	|	0	|	219	|	0	|	29	|	47	|	128	|
|	16	|	1	|	118	|	101	|	0	|	18	|	99	|
|	17	|	2	|	0	|	118	|	84	|	1	|	82	|
|	18	|	0	|	317	|	0	|	63	|	98	|	61	|
|	19	|	1	|	232	|	85	|	34	|	69	|	32	|
|	20	|	3	|	71	|	161	|	87	|	37	|	0	|
|	21	|	2	|	4	|	67	|	50	|	0	|	124	|
|	22	|	0	|	287	|	0	|	29	|	46	|	103	|
|	23	|	1	|	200	|	87	|	0	|	17	|	74	|
|	24	|	2	|	80	|	120	|	70	|	0	|	57	|
|	25	|	3	|	68	|	12	|	33	|	83	|	20	|
|	26	|	1	|	0	|	68	|	1	|	51	|	0	|
