|	s	|	p	|	t	|	d	|	v1	|	v2	|	v3	|
|-------|-------|-------|-------|-------|-------|-------|
|	0	|	0	|	320	|	0	|	40	|	30	|	145	|
|	1	|	2	|	281	|	39	|	19	|	9	|	124	|
|	2	|	1	|	163	|	118	|	2	|	31	|	107	|
|	3	|	2	|	57	|	106	|	103	|	14	|	90	|
|	4	|	0	|	319	|	0	|	82	|	99	|	69	|
|	5	|	1	|	253	|	66	|	53	|	70	|	40	|
|	6	|	3	|	66	|	187	|	87	|	38	|	8	|
|	7	|	2	|	0	|	66	|	50	|	1	|	158	|
|	8	|	0	|	271	|	0	|	29	|	46	|	137	|
|	9	|	1	|	151	|	120	|	0	|	17	|	108	|
|	10	|	2	|	32	|	119	|	103	|	0	|	91	|
|	11	|	0	|	319	|	0	|	82	|	98	|	70	|
|	12	|	1	|	253	|	66	|	53	|	69	|	41	|
|	13	|	3	|	67	|	186	|	87	|	37	|	9	|
|	14	|	2	|	0	|	67	|	50	|	0	|	158	|
|	15	|	0	|	271	|	0	|	29	|	46	|	137	|
|	16	|	1	|	151	|	120	|	0	|	17	|	108	|
|	17	|	2	|	32	|	119	|	103	|	0	|	91	|
|	18	|	0	|	320	|	0	|	82	|	98	|	70	|
|	19	|	1	|	280	|	40	|	53	|	69	|	41	|
|	20	|	3	|	155	|	125	|	61	|	37	|	9	|
|	21	|	2	|	110	|	45	|	24	|	0	|	97	|
|	22	|	1	|	36	|	74	|	7	|	28	|	80	|
|	23	|	2	|	0	|	36	|	64	|	11	|	63	|
|	24	|	0	|	16	|	0	|	43	|	26	|	42	|
|	25	|	2	|	0	|	16	|	22	|	5	|	21	|
|	26	|	0	|	0	|	0	|	1	|	0	|	0	|
